1237,7,62.3,-6,3
1238,9,62.3,-6,3
1239,7,62.2,-7.6,91
1240,7,62.2,-7.6,24
1241,5,62,-7.6,3
1242,5,62,-7.6,2
1243,5,62,-7.6,1
1244,6,62,-7.6,1
1245,6,62,-7.6,1
1246,6,62,-7.6,2
1247,7,62,-7.6,1
1248,8,62.5,-7.4,7
1249,10,62.5,-7.1,6
1250,2,62,-7.2,1
1251,5,61.9,-6.4,1
1252,6,61.9,-6.4,1
1253,7,61.9,-6.4,1
1254,8,61.8,-7.1,3
1255,10,61.8,-7.1,3
1256,10,61.8,-7.1,3
1257,10,61.8,-7.1,3
1258,7,62.7,-7.2,1
1259,10,62.5,-7.6,2
1260,10,62.5,-7.6,2
1262,7,62.5,-6.2,1
1263,3,62.7,-7.1,4
1264,3,62.6,-7.5,2
1265,3,62.6,-7.5,2
1266,3,62.6,-7.5,2
1267,4,62.6,-7.5,2
1268,4,62.6,-7.5,1
1269,4,62.6,-7.5,1
1270,5,62.6,-7.5,3
1271,6,62.6,-7.5,3
1272,6,62.6,-7.5,3
1273,6,62.6,-7.5,1
1274,6,62.6,-7.5,1
1275,7,62.6,-7.5,1
1276,7,62.6,-7.5,1
1277,2,62.7,-6.2,3
1278,4,62.7,-6.2,10
1279,6,62.7,-6.2,2
1280,7,62.7,-6.2,1
1281,6,62.8,-6.3,1
1282,8,62.8,-6.3,1
1283,2,61.4,-5.2,1
1284,3,61.4,-5.2,1
1285,4,62.4,-5.3,5
1286,4,62.4,-5.2,2
1287,5,62.4,-5.2,1
1288,5,62.4,-5.2,1
1289,3,62.4,-5,1
1290,4,62.4,-5,1
1291,2,62.3,-5.8,8
1292,7,62.3,-5.8,1
1293,8,62.3,-5.8,1
1294,3,62.3,-4.4,2
1295,4,62.3,-4.4,1
1296,5,62.3,-4.4,1
1297,6,62.3,-4.4,1
1298,7,62.3,-4.4,1
1299,7,62.3,-4.4,1
1300,2,62.1,-5.3,14
1301,3,62.1,-5.3,6
1302,3,62.1,-5.3,2
1303,3,62.1,-5.3,2
1304,4,62.1,-5.3,4
1305,6,62.1,-5.3,3
1306,7,62,-6.2,1
1307,2,62,-5.7,4
1308,4,62,-5.8,2
1309,7,62,-5.7,1
1310,8,62,-5.7,1
1311,4,62,-4.9,2
1312,8,62,-4.9,1
1313,4,62.2,-5.8,1
1314,4,62.2,-5.8,2
1315,4,62.2,-5.8,1
1316,4,62.2,-5.8,1
1317,5,62.2,-5.8,2
1318,5,62.2,-5.8,1
1319,6,62.2,-5.8,1
1320,7,62.2,-5.8,1
1321,3,62,-4.9,1
1322,5,62,-4.9,1
1323,6,62.2,-5.6,1
1324,3,62.2,-5.4,1
1325,8,62.2,-5.4,3
1326,2,61.5,-5.9,1
1327,2,61.5,-5.7,1
1328,3,61.5,-5.7,1
1329,6,62.1,-6.1,1
1330,2,62.1,-4.2,2
1331,3,62.1,-4.2,2
1332,3,62.1,-4.2,6
1333,3,62.1,-4.2,2
1334,3,62.1,-4.2,4
1335,3,62.1,-4.2,4
1336,4,62.1,-4.2,4
1337,4,62.1,-4.2,2
1338,4,62.1,-4.2,2
1339,5,62.1,-4.2,2
1340,3,61.8,-4.9,3
1341,4,61.8,-4.9,1
1342,3,61.9,-4.6,1
1343,4,61.9,-4.6,1
1344,5,61.9,-4.6,1
1345,6,61.9,-4.6,1
1346,4,61.5,-4.9,1
1347,4,61.5,-4.9,1
1348,5,61.5,-4.9,1
1349,6,61,-7,2
1350,4,61.5,-7.4,5
1351,6,61.5,-7.4,2
1352,6,61.5,-7.4,1
1353,4,60.9,-6.2,1
1354,5,60.8,-6.8,2
1355,5,60.8,-6.8,1
1356,3,60.7,-6.9,1
1357,5,60.7,-6.9,1
1358,4,61,-7,1
1359,2,61.9,-7.3,3
1360,3,61.8,-8.1,2
1361,10,61.8,-8.1,1
1362,9,61.8,-7.3,2
1363,10,61.8,-7.3,2
1364,10,61.6,-7.3,1
1366,5,61.7,-7.8,1
1367,7,61.6,-7.6,1
1368,2,61.5,-7.5,7
1369,4,61.5,-7.6,4
1370,6,61.5,-7.5,3
1372,7,62.3,-7.8,13
1373,9,62.3,-7.8,3
1374,6,62.3,-7.9,65
1375,6,62.3,-7.9,51
1376,6,62.3,-7.9,29
1377,7,62.3,-7.9,11
1378,7,62.3,-7.9,7
1379,7,62.3,-7.9,14
1380,8,62.3,-7.9,29
1381,8,62.3,-7.9,11
1382,8,62.3,-7.9,4
1383,9,62.3,-7.9,4
1384,9,62.3,-7.9,4
1385,9,62.3,-7.9,4
1386,10,62.3,-7.9,4
1387,10,62.3,-7.9,4
1388,10,62.3,-7.9,4
1389,7,62.3,-7.6,43
1390,7,62.3,-7.6,2
1391,8,62.3,-7.6,1
1392,9,62.3,-7.6,1
1393,10,62.3,-7.6,1
1394,9,62.2,-8.3,1
1395,5,62.1,-8.4,1
1396,8,62.1,-8.4,1
1397,9,62.1,-8.4,1
1398,10,62.1,-8.4,1
1400,6,62,-7.9,1
1401,6,62,-7.9,5
1402,6,62,-7.9,1
1403,7,62,-7.9,1
1404,8,62,-7.9,1
1405,6,62.4,-8.4,1
1406,7,62.4,-8.4,1
1407,9,62.4,-8.4,1
1408,5,62.4,-8.9,1
1409,6,62.4,-8.9,1
1410,2,61,-8.6,2
1411,5,61,-8,2
1412,3,61,-8.8,2
1413,6,61,-8.7,2
1414,5,61,-8.1,3
1415,6,60.9,-9.3,3
1416,6,60.7,-9.1,2
1790,4,62.4,-6.9,5
1791,6,62.2,-7.6,48
1792,3,62.2,-5.6,5
1793,5,62.2,-8.7,4
1801,6,62.4,-6.9,3
1802,8,62.5,-7.4,25
1804,4,62.7,-7.6,5
1805,3,62.4,-5,3
1806,4,62.1,-5.3,3
1807,5,61.5,-7.4,4
1808,7,61.5,-7.4,3
1809,5,61,-8.8,4
1831,6,62.5,-7.4,95
1885,6,62.4,-6.7,3
1886,8,62.4,-5.9,2
1887,6,62.3,-6,10
1888,6,62.3,-6,6
1889,6,62.3,-6,4
1890,8,62.2,-7.6,5
1892,4,62,-7.6,3
1893,6,62.5,-7.4,65
1894,8,62.5,-7.4,32
1895,10,62.5,-7.4,6
1896,6,61.9,-6.4,2
1897,2,62.7,-7.2,2
1898,8,62.5,-6.2,2
1899,2,62.7,-7.6,2
1900,5,62.7,-7.5,4
1901,2,62.7,-7.4,2
1902,3,62.7,-7.4,2
1903,6,62.7,-7.4,3
1904,4,62.8,-6.3,3
1905,2,61.4,-5.7,2
1906,3,62.5,-5.3,4
1907,5,62.3,-4.4,2
1908,5,62.3,-4.4,2
1909,6,62.3,-4.4,3
1910,3,62.1,-5.7,2
1911,6,62,-4.9,2
1912,2,61.8,-5.6,3
1913,4,61.7,-5.4,2
1914,4,61.7,-5.4,2
1915,6,62.2,-5.4,2
1916,4,61.5,-5.8,5
1917,2,61.9,-4.9,2
1918,4,61.1,-6.6,2
1919,6,61.5,-7.4,3
1920,6,61.5,-7.4,2
