Year,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Total Amount,Total Weight,Total Spawn Amount,Total Spawn Weight,Caught Age 2,Caught Age 3,Caught Age 4,Caught Age 5,Caught Age 6,Caught Age 7,Caught Age 8,Caught Age 9,Total Caught
2014,6.4150251480812,5.72567681436181,9.25137557743914,11.7040522636622,5.53460956209488,0.525041461533726,0.0582780162888954,0.0178238190482969,0.0212948151659259,39.2531774776761,99.9393268051471,28.1250388069262,76.6481732609774,0.0881576036428769,0.237339692728531,0.259171245322248,0.0611589833723652,0.00313568114948307,8.3987988438662E-05,1.71068546801051E-05,6.76670405434062E-06,0.649071067762677
2015,11.3453234927479,5.13194659675703,4.5907639978781,7.49766800992881,9.5298727476099,4.52544967176673,0.429494033409331,0.0477002903745617,0.0145929087921378,43.1128117492645,118.317844379038,28.2833621585625,96.8801219016077,0.0790160060830719,0.117773892922764,0.166026254101672,0.105307758817087,0.0270271364612636,0.000618969934282589,4.57815428570801E-05,4.63708627283069E-06,0.49582043694927
2016,18.7119801157714,9.07612876702914,4.11471978584792,3.72053043138384,6.10487892815421,7.79223159534422,3.70190503972833,0.351538906304031,0.0390536946604033,53.6129672642235,142.372421472599,29.5399788077679,111.257325872802,0.139744136526967,0.105561202381482,0.0823863806687541,0.0674606193387857,0.0465371889956118,0.00533504016568544,0.000337398229203902,1.24098186312688E-05,0.447374376125121
2017,21.9867838350789,14.9693696372245,7.27710741187325,3.33472602532831,3.02939364640224,4.99173826656239,6.37419560612936,3.02999238098195,0.28781571349451,65.2811225230753,173.106129941309,34.3542323870096,129.995452798164,0.230481705141306,0.186690770753964,0.0738432362845941,0.033475646939499,0.0298119305471413,0.00918624038641777,0.00290811072547534,9.14571805498722E-05,0.566489097958947
2018,21.6839047313944,17.3525101064882,11.8562801824783,5.86262934395231,2.70652970999993,2.47513655983509,4.08126201250628,5.21637279698165,2.4807479439019,73.715373387538,206.172268489001,40.9839575664039,155.34944012957,0.43660907565125,0.482728647588021,0.201106553285613,0.0468970539889362,0.0231643027080255,0.00931312713928147,0.00792247830150507,0.00124836182404777,1.20898960048668
2019,15.673810716684,17.1134704749008,13.743813311965,9.55173150179253,4.75822612640633,2.21134372664198,2.02367998440292,3.33993266835437,4.27080482840829,72.6868133395562,213.92191598541,45.7075047230288,166.721416308278,0.430594564093504,0.559579590788675,0.327654314734507,0.0824475662384842,0.0206955189085975,0.00461788263684394,0.00507259452561294,0.0021491541366988,1.43281118606292
2020,5.15896306628449,12.3701565862721,13.5544853098179,11.0723778913945,7.75237452647958,3.88766229156705,1.80800207586869,1.65609433295157,2.73450558879153,59.9946216694274,191.466123755703,45.9396832480433,158.595443228362,0.31124734114254,0.551871097988205,0.379817249867789,0.134328296995039,0.0363838454854529,0.00412572217834889,0.00251522886279258,0.00137605773012287,1.42166484025029
2021,2.65983555577271,4.07158042841511,9.79760978199513,10.919850267684,8.98656126344147,6.33400206632507,3.17856577823989,1.47959263069662,1.35589536038561,48.7834931329556,178.665246403539,42.1283454065763,159.626976222942,0.102445637915252,0.398909847512481,0.37458507452706,0.155713512838737,0.0592786449032892,0.00725324351208184,0.00224716310892188,0.000682313577834345,1.10111543789566
2022,4.29773751860276,2.0100331332254,3.10086042250946,7.74401828436098,8.77180290686979,7.32445613543964,5.17026889765431,2.59980291820304,1.21138798877888,42.2303682056443,176.26198098274,36.3074420359269,166.239548439605,0.120226230366129,0.277628516772595,0.545547157835636,0.321614274086656,0.144477377299413,0.0256710622906922,0.00857442532809795,0.00132696977482108,1.44506601375404
2023,4.05046070413942,3.24779281619456,1.53081396777848,2.45091612581805,6.22068988424122,7.14941830769706,5.97874887831673,4.22885071626844,2.12853860107471,36.9862300015287,172.180520390597,31.0057100957363,163.612308078133,0.194260423296953,0.137057962442943,0.172661049785202,0.228078843389377,0.14102469688017,0.0296852712912683,0.0139471974727145,0.00233162819371627,0.919047072752345
